아미리정류소	NAI406600532
아산시외버스터미널(온양시외버스터미널)	NAI288600158
아주대정류소	NAI406600503
안강합동정류소	NAI352600324
안강휴계소정류소	NAI406600600
안계시외버스공용정류장(안계공용버스정류장)	NAI362600357
안내정류장	NAI276600134
안덕정류소	NAI363600362
안동시외버스터미널	NAI354600327
안면버스터미널	NAI406600727
안산고속버스터미널(안산시외버스터미널)	NAI216600038
안성공용버스정류장(안성종합버스터미널)	NAI231600051
안성공용버스터미널(안성공용정류장)	NAI314600218
안양공용버스터미널(안양시외버스터미널)	NAI208600033
안의시외버스터미널	NAI396600414
안정리정류소	NAI406600542
안중터미널	NAI406600537
안천정류장	NAI313600216
앙성시외버스정류장(용포시외버스정류장)	NAI406600768
야미리정류소	NAI406600555
약목정류소	NAI406600642
양구종합버스정류장(양구시외버스터미널)	NAI264600107
양덕원시외버스터미널	NAI406600463
양동정류소	NAI406600514
양문정류소	NAI406600557
양산시외버스터미널	NAI388600400
양수리정류소	NAI406600515
양양시외버스정류장(양양시외버스터미널)	NAI267600114
양정정류소	NAI406600610
양지공용버스터미널(양지정류소)	NAI228600044
양촌정류장	NAI290600427
양평시외버스정류장(양평시외버스터미널)	NAI240600070
어리고개정류소	NAI406600456
어송정류소	NAI406600711
언양시외버스터미널(울산언양시외버스터미널)	NAI196600028
얼음골정류소	NAI406600570
엄정공동정류소	NAI406600770
에버랜드정류소	NAI406600528
여수시외버스터미널	NAI325600238
여수엑스포 시외버스정류장	NAI325600237
여주고속터미널(여주종합터미널)	NAI237600063
여주대정류소	NAI406600522
여천공용버스터미널	NAI325600239
연기공영버스터미널	NAI293600168
연당정류소	NAI406600432
연무대시외버스정류장(연무대고속버스터미널)	NAI290600165
연산정류장	NAI290600428
연천버스터미널	NAI406600663
연풍정류장(연풍직행정류소)	NAI280600142
영광시외버스터미널(고속매표소)	NAI341600306
영남대정류소	NAI406600595
영덕시외버스공용정류장(영덕터미널)	NAI365600369
영동공용버스정류장(영동시외버스터미널)	NAI277600135
영목정류소	NAI299600184
영산정류소	NAI406600583
영산포터미널(영산포공용터미널)	NAI327600247
